Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:46:47 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0FCZN9RLZ","New! Delectables Squeeze Up Variety Pack  Creamy Squeezable Puree  Lickable Wet Cat Treats  Grain-Free  No Added Fillers  0.5 Ounces Tube  40 Tubes Total","Hartz","Pet Supplies","$967,304.32","40,849","$23.68","$10.06","$13.62","39","28","5","1","06/12/2025","Amazon.com","4.9","4.764 x 4.764 x 6.929 in","Large standard","1.66 lb","Size Name"
"B0D4DGKH5Q","EHEYCIGA Orthopedic Dog Bed for Medium Dogs  Waterproof Memory Foam Medium Dog Beds with Sides  Non-Slip Bottom and Egg-Crate Foam Pet Couch Bed with Washable Removable Cover  Greige","EHEYCIGA","Pet Supplies","$1,274,480.48","30,352","$41.99","$16.05","$25.94","66","17","9","1","08/03/2024","Emoh US","4.4","7.05 x 12.4 x 13.66 in","Large standard","4.539 lb","Color Name, Size Name"
"B0FH8LSG93","Best Pet Supplies Voyager Step-in Air Harness - All Weather Mesh  Reflective  No Pull Harness for Dogs  Cats - Secure with Hook & Loop Fastener  Buckle  Double D-Rings - Lavender  XS","Best Pet Supplies","Pet Supplies","$603,587.34","40,266","$14.99","$7.79","$7.20","69","1","5","1","07/10/2025","Amazon.com","4.0","2.008 x 6.969 x 8.858 in","Large standard","0.143 lb","Color, Size"
"B0DSCF3KYC","Best Pet Supplies Poop Bags for Dogs  50% Post-Consumer Recycled Content dog waste bags on rolls  fits all poop bag holders for leashes - 150 Count  Green  Unscented","Best Pet Supplies","Pet Supplies","$360,501.19","48,131","$7.49","$5.49","$2.00","77","5","7","2","01/06/2025","Amazon.com","5.0","2.441 x 2.638 x 6.693 in","Large standard","0.75 lb","Color Name, Size Name"
"B0D3STPX44","OLANLY Dog Door Mat for Muddy Paws 36x24  Absorbs Moisture and Dirt  Absorbent Non-Slip Washable Doormat  Quick Dry Chenille Mud Mat for Dogs  Entry Indoor Entryway Carpet for Inside Floor  Royal Blue","OLANLY","Pet Supplies","$847,339.44","26,951","$31.44","$11.76","$19.68","154","17","7","1","08/15/2024","OLANLY","4.5","4.33 x 5.24 x 13.15 in","Large standard","2.478 lb","Color Name, Size Name"
"B0DNQM891T","Greenies Feline Pill Pockets for Cats Natural Soft Cat Treats  Salmon Flavor  1.6 oz. Pack (45 Treats) (Pack of 2)","Greenies","Pet Supplies","$369,852.48","28,538","$12.96","$7.08","$5.88","205","17","9","1","06/24/2024","Amazon.com","4.6","2 x 4.9 x 7.5 in","Large standard","3.2 oz","Flavor Name, Size Name"
"B0F2G8JSTH","Mighty Paw Naturals Bully Sticks for Small & Medium Dogs - Grass Fed Beef Chews. Bully Sticks for Large Dogs. Lower Odor Stick Treat. Single Ingredient (12"" - 10 Pack)","Mighty Paw","Pet Supplies","$916,353.36","16,664","$54.99","$15.01","$39.98","297","1","8","1","03/25/2025","Mighty Paw","5.0","1.06 x 8.94 x 15.16 in","Large standard","0.93 lb","Pattern Name"
"B0DL6785FY","Fresh Step Cat Litter Crystals in Sweet Blossom Scent - Cat Litter Box Deodorizer - Combats Odors and Neutralizes Smells to Keep Your Home Clean  15 Ounce","Fresh Step","Pet Supplies","$163,335.33","23,367","$6.99","$6.26","$0.73","298","49","7","1","10/28/2024","Amazon.com","4.3","2.76 x 2.95 x 7.09 in","Large standard","1.08 lb","Scent Name, Size Name"
"B0CHJD2MS1","FDW Dog Crate for Large Dogs 48 Inch Folding Metal WirePet Cage Double Door W/Divider Panel Indoor Outdoor Kennel Leak-Proof Plastic Tray Pink","FDW","Pet Supplies","$1,777,396.05","25,395","$69.99","$35.92","$34.07","341","50","7","1","09/13/2023","Amazon.com","4.4","49 x 29 x 3 in","Large bulky","40 lb","Color Name, Pattern Name"
"B08S6WNTLM","Nature's Miracle Advanced Dog Stain and Odor Eliminator Foam  Severe Mess Enzymatic Formula  17.5 oz  6 pack","Nature's Miracle","Pet Supplies","$1,095,490.56","18,688","$58.62","$18.46","$40.16","430","27","7","1","01/05/2021","Amazon.com","4.6","5.512 x 8.346 x 10.118 in","Large standard","8.349 lb","Size Name, Style Name"
"B0D3M89WGL","Pet Feeding Mat-Absorbent Pet Placemat for Food and Water Bowl  with Waterproof Rubber Backing  Quick Dry Water Dispenser Mat for Dog and Cat (17""x27""  Beige)","DK177","Pet Supplies","$449,029.23","17,277","$25.99","$10.26","$15.73","508","15","7","1","05/08/2024","Dpood Tech","4.1","2.24 x 2.36 x 17.04 in","Large standard","1.321 lb","Color, Size"
"B0DZNS7Z6N","LEGEND SANDY Dog Toys for Aggressive Chewers  Large Dog Toys to Keep Them Busy  Interactive Pet Toys  Squeaky Puppies Toys  Tug of War Puppy Toy  Crinkle Doggeis Toy","LEGEND SANDY","Pet Supplies","$131,072.31","9,369","$13.99","$7.24","$6.75","910","41","7","1","06/25/2023","Juandeng-US Direct","3.1","3.15 x 3.504 x 7.48 in","Large standard","0.298 lb","Color Name"
